ORIGIN_AIRPORT_CLEAN,total_flights,delay_rate
ABE,308,9.740259
ABQ,1237,9.377526
AGS,696,13.218391
ALB,1194,10.720268
ANC,2011,12.978618
ATL,220400,13.601179
ATW,443,7.4492097
AUS,3431,12.241329
AVL,637,12.401884
AVP,123,7.317073
BDL,4039,10.522407
BHM,3033,12.199142
BIL,981,5.504587
BIS,277,5.4151626
BNA,4628,14.563526
BOI,1049,6.101049
BOS,13897,19.982729
BTR,314,10.828026
BUF,2376,10.732323
BWI,6465,13.116783
BZN,1078,9.647495
CAE,1010,6.930693
CAK,1334,8.695652
CHA,774,10.723515
CHO,320,5.0
CHS,3581,9.857581
CLE,2273,7.787065
CLT,5974,12.638098
CMH,3026,12.723067
COS,305,15.081967
CRW,314,12.738853
CVG,5791,11.276118
DAB,1479,10.953346
DAL,1415,11.731449
DAY,1306,11.791731
DCA,8495,15.244262
DEN,7031,16.469917
DFW,5061,14.503063
DLH,199,14.572865
DSM,928,12.068965
DTW,50297,15.76436
ECP,1876,12.260128
EGE,101,17.821783
ELP,695,12.949639
EVV,354,10.169491
EWR,4942,12.828815
EYW,983,9.155646
FAR,712,12.780899
FAY,470,7.6595745
FLL,10473,13.195837
FNT,924,7.3593073
FSD,425,11.294118
GEG,1440,12.083333
GNV,271,10.332103
GPT,1127,11.623779
GRB,616,13.311688
GRR,2818,9.297374
GSO,1890,9.36508
GSP,1672,10.107656
HDN,95,20.0
HNL,2750,11.854546
HOU,1692,11.997636
HSV,1757,10.700057
IAD,2351,12.845598
IAH,2913,15.173361
ICT,853,11.254396
ILM,346,10.115607
IND,4383,12.274697
JAC,767,8.86571
JAN,1893,9.720021
JAX,4216,10.673624
JFK,25037,20.325916
KOA,345,11.304348
LAS,10571,12.307256
LAX,25068,18.693155
LEX,990,7.878788
LFT,338,10.946746
LGA,23745,21.916193
LIH,332,11.144579
LIT,1918,10.583941
MCI,5055,11.65183
MCO,15290,15.134075
MDT,920,10.652174
MDW,2499,13.085234
MEM,4060,12.019704
MHT,442,7.013575
MIA,8400,17.738094
MKE,4635,14.649406
MLB,1254,11.802233
MOB,454,9.030837
MSN,2519,11.274316
MSO,597,7.5376883
MSP,55741,14.070434
MSY,6907,14.724194
MTJ,35,22.857143
MYR,851,8.578143
OAK,917,5.997819
OGG,959,19.49948
OKC,1482,10.256411
OMA,2160,10.972222
ONT,211,5.21327
ORD,6918,19.731136
ORF,2696,9.384273
PBI,5629,16.53935
PDX,5421,11.123409
PHL,6509,16.976494
PHX,6883,10.649426
PIT,3474,11.6580305
PNS,2250,11.466666
PSC,304,3.618421
PSP,153,15.6862755
PVD,1454,10.660248
PWM,666,10.660661
RDU,5069,12.073387
RIC,2565,13.567251
RNO,929,7.3196983
ROA,385,9.87013
ROC,1221,10.237511
RSW,5485,11.577028
SAN,5824,8.276099
SAT,2977,9.2038965
SAV,3125,12.064
SDF,2660,11.503759
SEA,13506,17.162743
SFO,9634,16.690886
SGF,333,7.207207
SHV,270,15.1851845
SJC,1312,12.118903
SJU,3000,10.400001
SLC,33202,12.695019
SMF,1838,13.8737755
SNA,2533,6.829846
SRQ,2090,10.0
STL,4626,12.386511
STT,927,11.75836
STX,36,11.111112
SYR,1140,9.035088
TLH,1235,7.935223
TPA,10318,14.140338
TRI,476,11.764706
TUL,1036,10.135135
TUS,791,10.366625
TYS,928,8.728448
VPS,1753,9.868796
XNA,533,10.694184
PHF,81,6.1728396
MOT,4,0.0
TVC,425,8.235294
FAI,230,13.043478
JNU,139,26.618704
BGR,189,8.994709
LAN,4,0.0
BTV,89,4.494382
FCA,291,7.5601377
RAP,170,7.647059
SBN,14,0.0
UNKNOWN,75458,7.7937393
