SCHED_HOUR,1,2,3,4,5,6,7
0,546,445,397,492,543,502,364
1,69,65,54,57,67,74,53
5,1853,1853,1877,1878,1845,1333,1348
6,8631,8562,8559,8691,8531,7629,7218
7,9440,9300,9375,9542,9327,7141,7689
8,9050,9053,9107,9269,9126,8310,8356
9,8072,7946,8062,8243,8054,6247,7674
10,7489,7374,7451,7573,7436,5402,7010
11,8364,8177,8292,8449,8314,7111,8241
12,8385,8178,8295,8463,8395,6954,8187
13,8119,7916,8009,8161,8038,5909,7851
14,6730,6569,6609,6701,6615,5240,6460
15,8706,8444,8555,8777,8718,6714,8539
16,8117,7870,7992,8116,8067,5583,7904
17,9213,9045,9149,9155,9061,5975,8897
18,5334,5154,5277,5326,5269,2921,5211
19,9120,8688,8891,9011,9022,6243,8943
20,4358,4103,4205,4294,4310,3393,4509
21,4625,4505,4639,4636,4587,3039,4572
22,3017,2843,2946,3014,2982,2535,3086
23,1352,1129,1291,1397,1389,691,1435
