SCHED_HOUR,total_flights,delayed_flights,delay_rate
0,3289,282.0,8.574035
1,439,55.0,12.528473
5,11987,650.0,5.422541
6,57821,4206.0,7.2741737
7,61814,5388.0,8.716473
8,62271,6210.0,9.97254
9,54298,5666.0,10.435007
10,49735,5088.0,10.23022
11,56948,6837.0,12.00569
12,56857,6828.0,12.009075
13,54003,6869.0,12.719664
14,44924,5947.0,13.237913
15,58453,9271.0,15.860605
16,53649,8682.0,16.182966
17,60495,11429.0,18.89247
18,34492,6952.0,20.1554
19,59918,11905.0,19.86882
20,29172,5743.0,19.686686
21,30603,5438.0,17.769499
22,20423,3234.0,15.835089
23,8684,1343.0,15.465223
