ROUTE,total_flights,delayed_flights,delay_rate,IS_TOP10
ABQ - ATL,890,83.0,9.325843,False
AGS - ATL,729,99.0,13.580246,False
ALB - ATL,911,106.0,11.635565,False
ANC - MSP,634,70.0,11.04101,False
ANC - SEA,1324,176.0,13.293052,False
ATL - ABQ,891,107.0,12.008979,False
ATL - AGS,729,119.0,16.323732,False
ATL - ALB,913,115.0,12.595839,False
ATL - AUS,2230,292.0,13.094171,False
ATL - AVL,668,93.0,13.922156,False
ATL - BDL,2330,249.0,10.686695,False
ATL - BHM,3334,401.0,12.027595,False
ATL - BNA,3499,419.0,11.974851,False
ATL - BOS,3912,572.0,14.621676,False
ATL - BUF,1708,161.0,9.4262295,False
ATL - BWI,3921,477.0,12.165264,False
ATL - CAE,1100,129.0,11.727273,False
ATL - CAK,1446,147.0,10.165976,False
ATL - CHA,867,103.0,11.880046,False
ATL - CHS,3469,363.0,10.464111,False
ATL - CLE,2473,238.0,9.623939,False
ATL - CLT,3973,576.0,14.497861,False
ATL - CMH,2777,352.0,12.6755495,False
ATL - CVG,2422,301.0,12.427746,False
ATL - DAB,1601,216.0,13.491568,False
ATL - DAL,1558,149.0,9.563543,False
ATL - DAY,1416,186.0,13.135592,False
ATL - DCA,4935,827.0,16.757853,False
ATL - DEN,2697,362.0,13.42232,False
ATL - DFW,3999,518.0,12.9532385,False
ATL - DSM,996,105.0,10.542169,False
ATL - DTW,3811,530.0,13.90711,False
ATL - ECP,2058,264.0,12.827988,False
ATL - ELP,784,114.0,14.540817,False
ATL - EWR,3643,630.0,17.29344,False
ATL - EYW,1047,107.0,10.219675,False
ATL - FAY,532,67.0,12.593985,False
ATL - FLL,5208,648.0,12.442396,False
ATL - FNT,1012,139.0,13.735178,False
ATL - GPT,1233,141.0,11.435523,False
ATL - GRR,1388,141.0,10.158502,False
ATL - GSO,2129,246.0,11.55472,False
ATL - GSP,1855,239.0,12.884097,False
ATL - HOU,1855,179.0,9.649595,False
ATL - HSV,1930,235.0,12.176166,False
ATL - IAD,2286,269.0,11.76728,False
ATL - IAH,2528,336.0,13.29114,False
ATL - ICT,948,96.0,10.126582,False
ATL - IND,2876,365.0,12.691238,False
ATL - JAN,2098,242.0,11.534795,False
ATL - JAX,4401,636.0,14.451261,False
ATL - JFK,2074,471.0,22.70974,False
ATL - LAS,2796,322.0,11.516452,False
ATL - LAX,3947,583.0,14.770712,False
ATL - LEX,1094,105.0,9.597806,False
ATL - LGA,5669,1185.0,20.903158,False
ATL - LIT,2102,244.0,11.607992,False
ATL - MCI,2760,340.0,12.318841,False
ATL - MCO,5707,822.0,14.403364,False
ATL - MDT,967,116.0,11.995863,False
ATL - MDW,2512,305.0,12.14172,False
ATL - MEM,3381,461.0,13.63502,False
ATL - MIA,4191,486.0,11.596278,False
ATL - MKE,2410,250.0,10.373445,False
ATL - MLB,1375,185.0,13.454546,False
ATL - MSN,824,80.0,9.708737,False
ATL - MSP,3903,506.0,12.964386,False
ATL - MSY,4528,534.0,11.793286,False
ATL - MYR,933,115.0,12.32583,False
ATL - OKC,1587,145.0,9.136736,False
ATL - OMA,1477,148.0,10.020311,False
ATL - ORD,3979,680.0,17.089722,False
ATL - ORF,2878,327.0,11.362057,False
ATL - PBI,3837,509.0,13.265573,False
ATL - PDX,1170,126.0,10.769231,False
ATL - PHL,3807,670.0,17.59916,False
ATL - PHX,2057,261.0,12.68838,False
ATL - PIT,2840,289.0,10.176057,False
ATL - PNS,2452,337.0,13.743882,False
ATL - PVD,993,93.0,9.365559,False
ATL - PWM,690,97.0,14.057972,False
ATL - RDU,4099,477.0,11.636984,False
ATL - RIC,2816,375.0,13.316761,False
ATL - ROC,1054,112.0,10.626185,False
ATL - RSW,3166,406.0,12.823753,False
ATL - SAN,1854,174.0,9.385114,False
ATL - SAT,2419,275.0,11.368334,False
ATL - SAV,3440,454.0,13.197674,False
ATL - SDF,2922,361.0,12.354552,False
ATL - SEA,2381,275.0,11.549769,False
ATL - SFO,2425,297.0,12.247422,False
ATL - SJU,1471,209.0,14.208022,False
ATL - SLC,2778,285.0,10.259179,False
ATL - SMF,609,69.0,11.3300495,False
ATL - SNA,1051,119.0,11.32255,False
ATL - SRQ,2104,237.0,11.264258,False
ATL - STL,2761,330.0,11.952191,False
ATL - STT,664,67.0,10.090362,False
ATL - SYR,1024,140.0,13.671875,False
ATL - TLH,1349,169.0,12.527798,False
ATL - TPA,5189,705.0,13.586433,False
ATL - TRI,538,58.0,10.780669,False
ATL - TUL,1149,113.0,9.834639,False
ATL - TUS,676,85.0,12.573965,False
ATL - TYS,1067,98.0,9.184629,False
ATL - VPS,1865,202.0,10.831099,False
ATL - XNA,597,73.0,12.227806,False
AUS - ATL,2230,284.0,12.735426,False
AUS - JFK,573,96.0,16.753927,False
AVL - ATL,669,83.0,12.406577,False
BDL - ATL,2322,256.0,11.024979,False
BDL - DTW,1298,127.0,9.784284,False
BDL - MSP,829,68.0,8.202654,False
BHM - ATL,3328,393.0,11.808894,False
BIL - MSP,696,39.0,5.6034484,False
BNA - ATL,3494,490.0,14.024041,False
BNA - DTW,1255,166.0,13.227092,False
BOI - MSP,519,36.0,6.936416,False
BOI - SLC,587,32.0,5.451448,False
BOS - ATL,3902,517.0,13.249617,False
BOS - DTW,2428,342.0,14.085667,False
BOS - JFK,1326,339.0,25.565613,False
BOS - LAX,602,124.0,20.598007,False
BOS - LGA,3323,997.0,30.003008,True
BOS - MCO,603,92.0,15.257049,False
BOS - MSP,1953,308.0,15.77061,False
BOS - SLC,619,99.0,15.993539,False
BUF - ATL,1706,139.0,8.147715,False
BWI - ATL,3911,520.0,13.295833,False
BWI - DTW,1577,218.0,13.823716,False
BWI - MSP,937,101.0,10.779082,False
BWI - SLC,655,74.0,11.29771,False
